No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,Time 2,Time 1,,Delay ,,,Delay 2,Delay 1,,Jitter
33,2.739438,52.74.223.119,192.168.1.6,TCP,1490,443  >  52353 [ACK] Seq=1437 Ack=518 Win=67584 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,2.739438,2.739438,,0,,,0.000148,0,,0.000148
34,2.739438,52.74.223.119,192.168.1.6,TLSv1.3,704,"Application Data, Application Data, Application Data",,,,,,,,,,2.739586,2.739438,,0.000148,,,0.002321,0.000148,,0.002173
35,2.739586,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=518 Ack=3523 Win=132096 Len=0,,,,,,,,,,2.741907,2.739586,,0.002321,,,0.000701,0.002321,,-0.00162
36,2.741907,192.168.1.6,52.74.223.119,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,2.742608,2.741907,,0.000701,,,0,0.000701,,-0.000701
37,2.742608,192.168.1.6,52.74.223.119,TCP,1490,52353  >  443 [ACK] Seq=582 Ack=3523 Win=132096 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,2.742608,2.742608,,0,,,0.005935,0,,0.005935
38,2.742608,192.168.1.6,52.74.223.119,TLSv1.3,692,Application Data,,,,,,,,,,2.748543,2.742608,,0.005935,,,0,0.005935,,-0.005935
39,2.748543,52.74.223.119,192.168.1.6,TLSv1.3,1490,"Server Hello, Change Cipher Spec, Application Data",,,,,,,,,,2.748543,2.748543,,0,,,0,0,,0
40,2.748543,52.74.223.119,192.168.1.6,TCP,1490,443  >  52352 [ACK] Seq=1437 Ack=518 Win=67584 Len=1436 [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
41,2.748543,52.74.223.119,192.168.1.6,TLSv1.3,704,"Application Data, Application Data, Application Data",,,,,,,,,,,Total Delay,,2.748543,,,,Total Jitter,,-0.00019
42,2.748722,192.168.1.6,52.74.223.119,TCP,54,52352  >  443 [ACK] Seq=518 Ack=3523 Win=132096 Len=0,,,,,,,,,,,Rata - Rata Delay,,0.006289572,,,,Rata - rata Jitter ,,0
43,2.750543,192.168.1.6,52.74.223.119,TLSv1.3,118,"Change Cipher Spec, Application Data",,,,,,,,,,,,,,,,,,,
44,2.760871,52.74.223.119,192.168.1.6,TLSv1.3,133,Application Data,,,,,,,,,,,,,,,,,,,
45,2.7612,52.74.223.119,192.168.1.6,TLSv1.3,133,Application Data,,,,,,,,,,,,,,,,,,,
46,2.761272,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=2656 Ack=3681 Win=131840 Len=0,,,,,,,,,,,,,,,,,,,
47,2.763958,52.74.223.119,192.168.1.6,TCP,56,443  >  52353 [ACK] Seq=3681 Ack=2656 Win=72704 Len=0,,,,,,,,,,,,,,,,,,,
48,2.774206,52.74.223.119,192.168.1.6,TLSv1.3,133,Application Data,,,,,,,,,,,,,,,,,,,
49,2.774206,52.74.223.119,192.168.1.6,TLSv1.3,133,Application Data,,,,,,,,,,,,,,,,,,,
50,2.774442,192.168.1.6,52.74.223.119,TCP,54,52352  >  443 [ACK] Seq=582 Ack=3681 Win=131840 Len=0,,,,,,,,,,,,,,,,,,,
51,2.785641,185.199.108.154,192.168.1.6,TCP,56,443  >  52351 [ACK] Seq=151 Ack=576 Win=30720 Len=0,,,,,,,,,,,,,,,,,,,
52,3.271143,52.74.223.119,192.168.1.6,TLSv1.3,1446,Application Data,,,,,,,,,,,,,,,,,,,
53,3.274176,52.74.223.119,192.168.1.6,TLSv1.3,1446,Application Data,,,,,,,,,,,,,,,,,,,
54,3.274176,52.74.223.119,192.168.1.6,TLSv1.3,1293,"Application Data, Application Data",,,,,,,,,,,,,,,,,,,
55,3.274176,52.74.223.119,192.168.1.6,TLSv1.3,1446,Application Data,,,,,,,,,,,,,,,,,,,
56,3.274176,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data,,,,,,,,,,,,,,,,,,,
57,3.274449,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=2656 Ack=10532 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
58,3.275533,52.74.223.119,192.168.1.6,TLSv1.3,1402,Application Data,,,,,,,,,,,,,,,,,,,
59,3.275641,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=2656 Ack=11880 Win=130560 Len=0,,,,,,,,,,,,,,,,,,,
60,3.276655,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data,,,,,,,,,,,,,,,,,,,
61,3.276655,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
62,3.276655,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
63,3.276655,52.74.223.119,192.168.1.6,TLSv1.3,1314,Application Data,,,,,,,,,,,,,,,,,,,
64,3.276748,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=2656 Ack=17448 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
65,3.294201,192.168.1.6,140.82.112.26,TLSv1.2,242,Application Data,,,,,,,,,,,,,,,,,,,
66,3.295301,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data,,,,,,,,,,,,,,,,,,,
67,3.296569,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
68,3.296569,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
69,3.296569,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
70,3.296656,192.168.1.6,52.74.223.119,TCP,54,52353  >  443 [ACK] Seq=2656 Ack=23192 Win=132096 Len=0,,,,,,,,,,,,,,,,,,,
71,3.297534,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
72,3.297675,52.74.223.119,192.168.1.6,TLSv1.3,1490,Application Data [TCP segment of a reassembled PDU],,,,,,,,,,,,,,,,,,,
73,3.297675,52.74.223.119,192.168.1.6,TLSv1.3,114,Application Data,,,,,,,,,,,,,,,,,,,
